day,bars,first_hour,last_hour,distinct_hours,mean_close,std_close,min_close,max_close,mean_range,mean_volume,median_volume,max_volume,total_volume,non_2dp_count,even_2dp_count,bc_mean_close,bc_bars,overlap_bars,mean_overlap_diff,std_overlap_diff,max_abs_overlap_diff,daily_mean_diff
2024-08-19,1,5,5,1,75.3,,75.3,75.3,0.0,1.0,1.0,1.0,1.0,0,1,74.7596,1363,1,0.03,,0.03,-0.5404
2024-10-08,54,22,23,2,73.8402,0.0641,73.69,73.94,0.0235,6.4444,4.0,23.0,348.0,0,54,75.039,1375,52,0.0263,0.0084,0.05,1.1988
2024-10-09,156,2,5,4,73.7311,0.1346,73.5,74.17,0.0311,13.1282,11.0,60.0,2048.0,0,156,73.4607,1372,156,0.0266,0.0109,0.09,-0.2704
2024-10-10,178,3,11,7,73.8624,0.1408,73.66,74.31,0.0339,13.6798,12.0,59.0,2435.0,0,178,74.5677,1367,176,0.0282,0.0142,0.11,0.7053
2024-10-25,1,19,19,1,71.78,,71.78,71.78,0.01,9.0,9.0,9.0,9.0,0,1,70.8684,1258,1,0.02,,0.02,-0.9116
2024-10-29,118,15,23,6,67.6804,0.0949,67.38,67.83,0.014,6.3644,6.0,25.0,751.0,0,118,67.564,1367,99,-0.2589,0.0733,0.43,-0.1164
2024-10-30,530,0,23,15,68.4412,0.481,67.53,69.08,0.0281,13.3717,9.0,103.0,7087.0,0,530,68.1447,1370,528,-0.2265,0.3447,1.22,-0.2965
2024-10-31,332,0,7,8,68.9374,0.0884,68.77,69.08,0.0166,6.4639,6.0,33.0,2146.0,0,332,69.3333,1365,331,0.0308,0.0076,0.08,0.3959
2024-11-01,392,8,20,10,70.1328,0.7316,69.3,71.39,0.038,18.2041,14.5,85.0,7136.0,0,392,70.4595,1259,392,0.0277,0.0173,0.16,0.3267
2024-11-05,3,21,21,1,72.0467,0.0153,72.03,72.06,0.01,3.6667,4.0,6.0,11.0,0,3,71.8284,1376,3,0.0267,0.0058,0.03,-0.2183
2024-11-06,425,13,23,10,71.755,0.5034,69.78,72.55,0.0392,19.6588,11.0,115.0,8355.0,0,425,71.3462,1374,424,0.0305,0.0386,0.35,-0.4088
2024-11-07,1142,0,23,23,71.7529,0.4947,70.67,72.83,0.0336,15.1217,10.0,93.0,17269.0,0,1142,71.785,1373,1140,0.0313,0.0233,0.26,0.0321
2024-11-08,1063,0,21,22,71.1817,0.6558,70.03,72.18,0.0316,13.6331,10.0,97.0,14492.0,0,1063,71.2086,1312,1060,0.0299,0.0158,0.2,0.0269
2024-11-10,24,23,23,1,69.9779,0.0305,69.91,70.02,0.0133,3.8333,2.5,11.0,92.0,0,24,70.2913,60,24,0.2833,0.0056,0.29,0.3134
2024-11-11,1117,0,23,23,69.0016,0.8513,67.78,70.2,0.0307,12.6723,9.0,79.0,14155.0,0,1117,69.2081,1376,1116,0.2386,0.0514,0.38,0.2065
2024-11-12,914,0,23,19,68.0329,0.2703,67.63,68.89,0.0281,11.163,8.0,93.0,10203.0,0,914,68.129,1338,894,0.0647,0.0545,0.18,0.0961
2024-11-13,1024,0,23,23,68.0501,0.3309,66.81,68.66,0.0342,16.0488,10.0,95.0,16434.0,0,1024,68.0902,1256,970,0.0268,0.0185,0.19,0.0401
2024-11-14,1107,0,23,23,68.2993,0.362,67.75,69.2,0.0301,13.8627,9.0,154.0,15346.0,0,1107,68.3324,1311,1072,0.0288,0.0155,0.16,0.0331
2024-11-15,384,0,8,9,67.9382,0.2492,67.33,68.39,0.0194,6.1667,5.0,35.0,2368.0,0,384,67.7325,1298,378,0.0303,0.0085,0.07,-0.2057
