start_day,end_day,n_days,total_bars,mean_diff_vs_bc,stdev_diff_vs_bc,median_volume,mean_volume,even_2dp_share,median_bars_per_day
2024-08-19,2024-10-10,4,389,0.273,0.817,9.79,8.56,1.0,105
2024-10-25,2024-10-30,3,649,-0.442,0.417,9.0,9.58,1.0,118
2024-10-31,2024-11-21,17,10941,0.063,0.213,11.16,11.13,1.0,552
2024-11-22,2024-11-22,1,1271,0.028,,1.0,1.0,1.0,1271
2024-11-24,2024-11-27,4,4020,0.025,0.009,1.0,1.0,1.0,1316
2024-11-28,2024-11-28,1,1104,0.026,,1.01,1.01,1.0,1104
2024-11-29,2024-11-29,1,1140,0.034,,1.0,1.0,1.0,1140
2024-12-02,2025-03-24,19,13819,-0.042,0.202,11.2,9.93,1.0,871
2025-03-25,2025-03-25,1,729,-0.067,,7.12,7.12,1.0,729
2025-03-28,2025-04-07,8,6355,0.405,,11.0,17.53,1.0,1007
2025-04-08,2025-04-08,1,734,-2.197,,23.75,23.75,1.0,734
2025-04-09,2025-04-09,1,255,-0.411,,32.05,32.05,1.0,255
2025-04-22,2025-04-22,1,265,-3.131,,12.54,12.54,1.0,265
2025-04-23,2025-04-24,2,2130,-2.653,0.664,15.94,15.94,1.0,1065
2025-04-25,2025-04-25,1,1063,-2.279,,14.44,14.44,1.0,1063
2025-04-27,2025-04-27,1,53,-2.278,,5.08,5.08,1.0,53
2025-04-28,2025-04-28,1,1099,-2.236,,15.88,15.88,1.0,1099
2025-04-29,2025-04-29,1,1124,-1.455,,16.43,16.43,1.0,1124
2025-04-30,2025-04-30,1,1130,-1.164,,19.38,19.38,1.0,1130
2025-05-01,2025-05-01,1,1098,-0.769,,17.11,17.11,1.0,1098
2025-05-02,2025-05-02,1,1063,-1.137,,14.77,14.77,1.0,1063
2025-05-04,2025-05-06,3,2271,0.201,0.166,14.73,14.5,1.0,1101
2025-05-07,2025-05-07,1,1120,-0.667,,14.14,14.14,1.0,1120
2025-05-08,2025-05-08,1,1093,-0.176,,13.4,13.4,1.0,1093
2025-05-09,2025-05-13,4,3366,-0.85,0.162,11.73,10.3,1.0,1102
2025-05-14,2025-05-27,11,7903,-1.424,0.126,10.66,9.36,1.0,1052
2025-05-28,2025-05-28,1,822,-1.076,,10.69,10.69,1.0,822
2025-05-30,2025-05-30,1,1,-1.903,,13.0,13.0,1.0,1
2025-06-02,2025-06-02,1,2,-2.803,,3.0,3.0,1.0,2
2025-06-03,2025-06-06,4,1269,-2.492,0.146,7.32,7.13,1.0,280
2025-06-09,2025-06-09,1,1071,-3.208,,8.36,8.36,1.0,1071
2025-06-10,2025-06-10,1,1088,-3.653,,10.29,10.29,1.0,1088
2025-06-11,2025-06-11,1,340,-2.524,,5.96,5.96,1.0,340
2025-06-12,2025-06-12,1,132,-4.92,,10.58,10.58,1.0,132
2025-06-13,2025-06-13,1,1,-7.969,,26.0,26.0,1.0,1
2025-06-16,2025-06-16,1,732,-5.675,,26.6,26.6,1.0,732
2025-06-18,2025-06-18,1,1030,-6.958,,24.19,24.19,1.0,1030
2025-11-25,2025-11-25,1,3,-1.159,,0.0,0.0,1.0,3
2025-12-29,2025-12-29,1,167,-0.411,,5.1,5.1,1.0,167
2025-12-30,2026-01-09,10,5841,-0.307,0.191,13.26,11.65,1.0,803
2026-01-12,2026-01-12,1,505,-0.503,,14.53,14.53,1.0,505
2026-01-13,2026-02-27,15,6192,-0.567,0.273,19.34,22.09,1.0,421
2026-03-01,2026-03-01,1,2,-1.265,,37.0,37.0,1.0,2
2026-03-02,2026-03-02,1,270,-0.703,,25.51,25.51,1.0,270
2026-03-03,2026-03-03,1,574,-1.786,,24.2,24.2,1.0,574
2026-03-04,2026-03-04,1,1056,-2.925,,32.03,32.03,1.0,1056
2026-03-09,2026-03-09,1,458,-9.176,,32.86,32.86,1.0,458
2026-03-10,2026-03-10,1,378,-4.84,,31.73,31.73,1.0,378
2026-03-11,2026-03-11,1,4,-1.2,,52.25,52.25,1.0,4
2026-03-15,2026-03-15,1,17,-3.474,,20.0,20.0,1.0,17
2026-03-16,2026-03-16,1,411,-4.816,,27.21,27.21,1.0,411
2026-03-17,2026-03-19,3,1087,-3.73,0.281,26.36,26.01,1.0,393
2026-03-20,2026-03-20,1,1,-5.626,,52.0,52.0,1.0,1
2026-03-22,2026-03-22,1,118,-3.633,,22.75,22.75,1.0,118
2026-03-23,2026-03-23,1,550,-4.548,,29.36,29.36,1.0,550
2026-03-24,2026-03-24,1,1130,-2.661,,23.62,23.62,1.0,1130
2026-03-25,2026-03-25,1,1378,-2.5,,21.59,21.59,1.0,1378
2026-03-26,2026-03-26,1,1378,-2.972,,17.82,17.82,1.0,1378
2026-03-27,2026-03-27,1,1252,-3.82,,21.6,21.6,1.0,1252
2026-03-29,2026-03-29,1,50,-5.835,,11.8,11.8,1.0,50
2026-03-30,2026-03-30,1,671,-5.227,,20.94,20.94,1.0,671
2026-03-31,2026-03-31,1,1364,-7.172,,24.5,24.5,1.0,1364
2026-04-01,2026-04-01,1,1377,-8.475,,19.87,19.87,1.0,1377
2026-04-02,2026-04-02,1,1259,-11.63,,27.43,27.43,1.0,1259
2026-04-19,2026-04-19,1,37,-0.28,,14.41,14.41,1.0,37
2026-04-20,2026-04-20,1,689,0.012,,14.33,14.33,1.0,689
2026-04-21,2026-04-21,1,680,-1.185,,22.94,22.94,1.0,680
2026-04-22,2026-04-28,6,4060,0.477,0.666,19.3,19.61,1.0,699
